run_type,iteration,wall_s,training_steps,step_avg_ms,dl_ms,h2d_ms,fwd_ms,bwd_ms,opt_ms,gpu_mem_allocated_gb,gpu_mem_reserved_gb,gpu_util_avg_pct,gpu_power_avg_w,process_cpu_avg_pct
1gpu,1,609.46,14079,39.75,2.75,0.71,2.78,9.12,24.37,1.61,1.74,90.74,68.56,112.33
1gpu,2,609.32,14177,39.5,2.53,0.71,2.79,9.13,24.35,1.61,1.74,91.27,68.88,112.12
1gpu,3,609.27,14173,39.53,2.56,0.71,2.79,9.13,24.34,1.61,1.74,91.3,68.72,112.15
1gpu,4,609.24,14153,39.64,2.65,0.71,2.78,9.12,24.36,1.61,1.74,91.29,68.44,112.09
1gpu,5,609.25,14181,39.52,2.55,0.71,2.79,9.13,24.34,1.61,1.74,90.88,68.69,112.08
2x1,1,610.04,2552,232.27,3.29,0.72,2.8,200.89,24.55,1.61,1.87,96.25,44.59,331.12
2x1,2,610.25,1409,423.26,3.33,0.72,2.83,391.75,24.59,1.61,1.87,97.06,42.3,323.73
2x1,3,610.27,1412,422.44,3.34,0.72,2.83,390.93,24.59,1.61,1.87,97.01,42.08,325.39
2x1,4,610.27,1409,423.33,3.3,0.72,2.83,391.85,24.6,1.61,1.74,97.04,42.2,324.91
2x1,5,609.71,1409,423.13,3.33,0.72,2.83,391.62,24.6,1.61,1.74,97.14,42.26,325.51
