run_type,iteration,wall_s,training_steps,step_avg_ms,dl_ms,input_wait_ms,h2d_ms,compute_ms,residual_ms,gpu_util_avg_pct,gpu_mem_gb,gpu_temp_c,cpu_util_avg_pct
1gpu,1,321.93,7117,39.7,2.3,2.3,0.7,36.3,2.7,22.5,1.08,42.0,7.2
1gpu,2,319.92,7110,39.7,2.3,2.3,0.7,36.3,2.7,22.4,1.08,41.0,7.2
1gpu,3,321.93,7117,39.7,2.3,2.3,0.7,36.3,2.7,22.5,1.08,41.0,7.2
1gpu,4,319.92,7117,39.7,2.3,2.3,0.7,36.3,2.7,22.4,1.08,41.0,7.2
1gpu,5,320.12,7112,39.7,2.3,2.3,0.7,36.3,2.7,22.4,1.14,41.0,7.2
4gpu,1,321.67,2413,120.9,3.2,3.2,0.7,117.5,2.7,93.2,2.51,46.0,8.3
4gpu,2,319.58,2411,121.0,3.3,3.2,0.7,117.6,2.7,92.9,2.51,46.0,8.3
4gpu,3,321.73,2412,121.1,3.1,3.1,0.7,117.6,2.7,93.2,2.58,46.0,8.3
4gpu,4,319.58,2412,121.0,3.2,3.2,0.7,117.6,2.7,93.0,2.58,46.0,8.3
4gpu,5,319.63,2412,121.0,3.2,3.2,0.7,117.5,2.7,93.1,2.51,46.0,8.3
